ID,target
ID_00ILO0W,0.0
ID_00KPO3Y,0.0
ID_00MLY2L,0.0
ID_00PVY5K,0.0
ID_00TLQ4J,0.0
ID_00VHK7R,0.0
ID_00WNJ0U,0.0
ID_00WSW3W,0.0
ID_00ZEE8W,0.0
ID_01CDE2A,0.0
ID_01DVU8L,0.0
ID_01GSE5D,0.0
ID_01JWD7V,0.0
ID_01KPM6P,0.0
ID_01LPP0X,0.0
ID_01LRK7B,0.0
ID_01LTR5D,0.0
ID_01NLR3Y,0.0
ID_01NPS1D,0.0
ID_01OBE2G,0.0
ID_01SKJ0B,0.0
ID_01SVY9U,0.0
ID_01UKJ4Z,0.0
ID_01UWL6J,0.0
ID_01WQR9N,0.0
ID_01WWU8C,0.0
ID_01YMR6N,0.0
ID_02DXW7T,0.0
ID_02FBX3P,0.0
ID_02FOZ5M,0.0
ID_02HEQ5V,0.0
ID_02HWM5X,0.0
ID_02IZC3P,0.0
ID_02JBO5M,0.0
ID_02KNE5X,0.0
ID_02NKC1G,0.0
ID_02QNB7K,0.0
ID_02TPQ4N,0.0
ID_02WBC3W,0.0
ID_02WKC9K,0.0
ID_02XYZ8F,0.0
ID_02ZQZ6B,0.0
ID_03ARI0C,0.0
ID_03ARR7H,0.0
ID_03BBO4H,0.0
ID_03CZN0D,0.0
ID_03DHP0G,0.0
ID_03FPP7B,0.0
ID_03KRJ5U,0.0
ID_03NGL2H,0.0
ID_03PAP8S,0.0
ID_03QHO3X,0.0
ID_03RSC6J,0.0
ID_03SNX4A,0.0
ID_03VDW6Z,0.0
ID_03XDO5H,0.0
ID_03ZVZ6H,0.0
ID_04ACR8G,0.0
ID_04HNH1G,0.0
ID_04HVS6H,0.0
ID_04IHN0I,0.0
ID_04KSG1A,0.0
ID_04NHD8X,0.0
ID_04PKY0Q,0.0
ID_04QKS1P,0.0
ID_04QWR3S,0.0
ID_04SSU5I,0.0
ID_04SXP8V,0.0
ID_04TUF0B,0.0
ID_04XJT7X,0.0
ID_04XLD7Z,0.0
ID_04XNX1C,0.0
ID_04YNA8D,0.0
ID_05JLH2N,0.0
ID_05KCG2K,0.0
ID_05RIC0X,0.0
ID_05SEX3P,0.0
ID_05VUF2E,0.0
ID_05WEH9A,0.0
ID_05ZOR5T,0.0
ID_06EUZ0H,0.0
ID_06FIT4F,0.0
ID_06FJI9Z,0.0
ID_06FRF3E,0.0
ID_06IRG0N,0.0
ID_06JFQ9B,0.0
ID_06PXQ6E,0.0
ID_06SYI4H,0.0
ID_06UYH4Y,0.0
ID_06VNY2E,0.0
ID_06XYY1N,0.0
ID_06YJO5D,0.0
ID_07EFF2F,0.0
ID_07GBJ7A,0.0
ID_07MJY3A,0.0
ID_07NME6K,0.0
ID_07REY8N,0.0
ID_07SZG7B,0.0
ID_07VPI6V,0.0
ID_07VXP8A,0.0
ID_07YBW9K,0.0
ID_08DQI2E,0.0
ID_08LIQ5D,0.0
ID_08LZB4E,0.0
ID_08MHH3J,0.0
ID_08OGA1P,0.0
ID_08ORL3Z,0.0
ID_08TTK0O,0.0
ID_08URR0J,0.0
ID_09DBP8F,0.0
ID_09DQX5E,0.0
ID_09GQY8M,0.0
ID_09JAD9S,0.0
ID_09JRT6U,0.0
ID_09JWR4B,0.0
ID_09KHW5W,0.0
ID_09PZC1Q,0.0
ID_09VBO3F,0.0
ID_09YNW6P,0.0
ID_10ASV4I,0.0
ID_10BYZ3S,0.0
ID_10DSS8I,0.0
ID_10DTM4W,0.0
ID_10FMC3H,0.0
ID_10HBG7L,0.0
ID_10HQE1D,0.0
ID_10QZM8P,0.0
ID_10VEN3G,0.0
ID_10VSV4Q,0.0
ID_10WJN9Z,0.0
ID_11DFW0A,0.0
ID_11DXJ9N,0.0
ID_11GBK0D,0.0
ID_11GVA9O,0.0
ID_11IRW4A,0.0
ID_11NXG1W,0.0
ID_11ZMZ0O,0.0
ID_12AMG6C,0.0
ID_12EHP3G,0.0
ID_12SVI9H,0.0
ID_12UYU4X,0.0
ID_12WQZ2V,0.0
ID_12XEB7X,0.0
ID_12XFZ5D,0.0
ID_12YPK2E,0.0
ID_13DCU5S,0.0
ID_13EHR8S,0.0
ID_13LEV0A,0.0
ID_13NCN7K,0.0
ID_13SLP3L,0.0
ID_13SSA8S,0.0
ID_13VFD0C,0.0
ID_13YNJ1I,0.0
ID_13ZMZ5A,0.0
ID_13ZRH4B,0.0
ID_13ZWJ3X,0.0
ID_13ZZB9Y,0.0
ID_14AFZ2I,0.0
ID_14AJK5M,0.0
ID_14BNR7X,0.0
